Task,Vanilla,Vanilla_upper_se,Vanilla_down_se,A-GEM,A-GEM_upper_se,A-GEM_down_se,GSS,GSS_upper_se,GSS_down_se,DER,DER_upper_se,DER_down_se,Joint,Joint_upper_se,Joint_down_se,Dual-LS,Dual-LS_upper_se,Dual-LS_down_se
1,43.539898132427844,47.88550539840501,39.19429086645068,21.757215619694396,28.87288881138669,14.6415424280021,24.151103565365023,34.241689813269076,14.060517317460967,20.602716468590835,22.772915956204987,18.432516980976683,4.533106960950764,6.796901526908283,2.2693123949932454,9.601018675721562,11.145942812555276,8.056094538887848
2,36.75774877650897,40.90743448103059,32.608063071987345,22.430668841761825,25.756702468445333,19.104635215078318,29.55546492659054,34.86196476964718,24.248965083533893,17.45513866231648,19.96203314590094,14.948244178732018,4.69820554649266,5.8720203418074055,3.524390751177914,10.424143556280587,11.990056295497011,8.858230817064163
3,36.84873949579833,43.50412740812475,30.1933515834719,10.126050420168067,13.507468075360844,6.7446327649752895,25.966386554621845,34.50130449237564,17.431468616868052,10.546218487394956,14.124917080146353,6.967519894643559,3.1512605042016806,4.258500581291449,2.044020427111912,8.697478991596638,11.533743123915691,5.8612148592775855
4,47.67976989453499,47.89676248254097,47.46277730652901,23.21188878235858,34.97322122699375,11.450556337723414,9.635666347075743,22.624295224884925,-3.3529625307334374,24.8418024928092,33.94666129114348,15.736943694474924,7.123681687440074,18.490614798705572,-4.243251423825425,2.186001917545542,3.198454664834573,1.1735491702565106
5,63.89084507042253,67.3392829739551,60.442407166889964,35.58098591549297,45.61171755712387,25.550254273862066,54.94718309859155,61.57653483605365,48.31783136112945,36.95422535211268,41.356377089038595,32.552073615186764,7.535211267605632,9.295383368100229,5.775039167111035,22.200704225352112,26.002551968893513,18.39885648181071
6,13.633093525179856,16.34064333759193,10.92554371276778,6.115107913669065,7.503097949974848,4.727117877363282,11.492805755395684,14.51244894166247,8.473162569128899,4.172661870503598,5.730953630339064,2.614370110668132,1.8705035971223019,3.0023117066584364,0.7386954875861671,3.6330935251798566,4.50929620654413,2.756890843815583
7,17.95737704918033,20.313071593050275,15.601682505310384,11.295081967213113,12.944323493235272,9.645840441190954,14.455737704918036,16.21889122143115,12.692584188404922,9.534426229508195,10.583014404844919,8.485838054171472,4.219672131147542,4.773512836054339,3.665831426240745,6.016393442622951,6.651261712774735,5.381525172471166
8,0.0,0.0,0.0,0.00922509225092251,0.03839739538900719,-0.01994721088716217,0.03690036900369004,0.11469317737191585,-0.04089243936453578,0.0,0.0,0.0,0.00922509225092251,0.03839739538900719,-0.01994721088716217,0.0,0.0,0.0
