Task,Vanilla,Vanilla_upper_se,Vanilla_down_se,A-GEM,A-GEM_upper_se,A-GEM_down_se,GSS,GSS_upper_se,GSS_down_se,DER,DER_upper_se,DER_down_se,Joint,Joint_upper_se,Joint_down_se,Dual-LS,Dual-LS_upper_se,Dual-LS_down_se
1,2.5542471318659787,2.804083495981827,2.3044107677501304,1.4554475963070996,1.7225901659436607,1.1883050266705386,1.6258316895840548,1.9403178481795553,1.3113455309885542,1.366299587816533,1.4470026366865334,1.2855965389465325,0.8552729360486107,0.9364050913699972,0.7741407807272241,1.0487111690514683,1.0893541514277314,1.0080681866752053
2,2.5246068132742185,2.828053447098349,2.221160179450088,1.5877592025980696,1.7303764245269304,1.4451419806692087,2.0058531569671816,2.246818865720647,1.7648874482137165,1.3757920789516747,1.4739710814162261,1.2776130764871232,0.8952828215176292,0.9405570701394874,0.8500085728957709,1.1183076809979091,1.1845924723586783,1.05202288963714
3,2.221216712880939,2.545161583563671,1.8972718421982067,1.1405383176930743,1.2573910121441312,1.0236856232420175,1.707063567093546,2.042168762406826,1.3719583717802661,1.1655829203300856,1.28894595805328,1.0422198826068911,0.908181795712997,0.9543584734145819,0.862005118011412,1.1258833257696659,1.2463763955611689,1.005390255978163
4,3.999869966408814,4.812190545811023,3.1875493870066047,1.873360793093457,2.7497149907043648,0.9970065954825493,1.1134315753492188,1.7709901906138623,0.4558729600845751,1.7497037834287799,2.293502951817631,1.2059046150399286,0.889107417295817,1.2780957997362719,0.500119034855362,0.782270958878962,0.8361200602723969,0.7284218574855271
5,4.298955164436318,4.800717778902453,3.7971925499701835,2.310850405230136,3.091116017444878,1.5305847930153937,3.312898665638086,3.831175657741881,2.7946216735342913,2.1666727896625906,2.3555762312088655,1.9777693481163157,1.0902019204843842,1.142603528048212,1.0378003129205564,1.7032166343080264,1.901423262887193,1.5050100057288598
6,1.137028211286444,1.2288579422152093,1.0451984803576788,0.8960350602306028,0.941104410626499,0.8509657098347065,1.050265788429569,1.1383863103202374,0.9621452665389004,0.8230680924066288,0.8735346285518388,0.7726015562614188,0.736545430299315,0.7681680942486661,0.7049227663499639,0.8406227191154523,0.8742083619996458,0.8070370762312588
7,1.433344822235739,1.5436983178345514,1.3229913266369266,1.0479873672932212,1.1655401726540047,0.9304345619324376,1.1842304413448537,1.2566032607138278,1.1118576219758796,0.9678622665451787,1.0111285455412293,0.9245959875491281,0.7433802467204558,0.7712173583123006,0.7155431351286109,0.8548230300786652,0.8829781717381604,0.82666788841917
8,0.6129416623591292,0.6682838819174253,0.5575994428008331,0.6213960254785243,0.6747075324519953,0.5680845185050534,0.673517991394068,0.7393675167625425,0.6076684660255934,0.6094843286322187,0.6568409446106755,0.5621277126537618,0.6101443505231623,0.6619444043400224,0.5583442967063021,0.678430778575337,0.6891965712251488,0.6676649859255251
