Task,Vanilla,Vanilla_upper_se,Vanilla_down_se,A-GEM,A-GEM_upper_se,A-GEM_down_se,GSS,GSS_upper_se,GSS_down_se,DER,DER_upper_se,DER_down_se,Joint,Joint_upper_se,Joint_down_se,Dual-LS,Dual-LS_upper_se,Dual-LS_down_se
1,2.5542471318659787,2.804083495981827,2.3044107677501304,1.4772766966717124,1.700706038740299,1.2538473546031257,0.9756826482012281,1.0407444000144253,0.9106208963880309,1.405547376552998,1.5951358491357739,1.215958903970222,0.8552729360486107,0.9364050913699972,0.7741407807272241,0.8337267718616314,0.8604770361082893,0.8069765076149734
2,2.5246068132742185,2.828053447098349,2.221160179450088,1.571439048525352,1.8037518547939375,1.3391262422567665,1.1030175568247604,1.1676712388940444,1.0383638747554764,1.425928096628709,1.512692746584309,1.3391634466731088,0.8952828215176292,0.9405570701394874,0.8500085728957709,0.8968283110473457,0.9315989486493834,0.862057673445308
3,2.221216712880939,2.545161583563671,1.8972718421982067,1.1526078440944203,1.2853750056905926,1.019840682498248,0.988408307240501,1.0541033368978496,0.9227132775831524,1.1670445517581771,1.27860040110596,1.0554887024103943,0.908181795712997,0.9543584734145819,0.862005118011412,0.860871315898426,0.9204304139353854,0.8013122178614667
4,3.999869966408814,4.812190545811023,3.1875493870066047,1.6963951521531044,2.231187341297974,1.1616029630082345,0.9961852335340776,1.5538295714069257,0.43854089566122945,1.9752520677833005,2.74135004307044,1.2091540924961612,0.889107417295817,1.2780957997362719,0.500119034855362,0.7021690429286178,0.732201101622315,0.6721369842349206
5,4.298955164436318,4.800717778902453,3.7971925499701835,2.160230076394355,2.6284576531053747,1.6920024996833354,1.496651240552518,1.7181949762995634,1.2751075048054727,2.155661302031568,2.3893464864335736,1.9219761176295622,1.0902019204843842,1.142603528048212,1.0378003129205564,1.0989666446533202,1.1612260157219099,1.0367072735847305
6,1.137028211286444,1.2288579422152093,1.0451984803576788,0.9102183437467968,0.9843714377173521,0.8360652497762414,0.80530817650122,0.8497761914925238,0.7608401615099162,0.8686430675315358,0.9084244093597873,0.8288617257032842,0.736545430299315,0.7681680942486661,0.7049227663499639,0.775124396017754,0.7902331311268351,0.7600156609086728
7,1.433344822235739,1.5436983178345514,1.3229913266369266,0.9977384851644313,1.100372966686205,0.8951040036426576,0.8051703007785871,0.8405032776154522,0.769837323941722,0.973214018636995,1.019326143115459,0.927101894158531,0.7433802467204558,0.7712173583123006,0.7155431351286109,0.7521814596382774,0.7728383566165732,0.7315245626599817
8,0.6129416623591292,0.6682838819174253,0.5575994428008331,0.6298162202869373,0.69451660571614,0.5651158348577345,0.7060865388929004,0.7678051814575639,0.6443678963282369,0.6249861831213022,0.6945456397706915,0.5554267264719128,0.6101443505231623,0.6619444043400224,0.5583442967063021,0.6730268095971462,0.690977165894252,0.6550764533000405
