Task,Vanilla,Vanilla_upper_se,Vanilla_down_se,A-GEM,A-GEM_upper_se,A-GEM_down_se,GSS,GSS_upper_se,GSS_down_se,DER,DER_upper_se,DER_down_se,Joint,Joint_upper_se,Joint_down_se,Dual-LS,Dual-LS_upper_se,Dual-LS_down_se
1,2.5542471318659787,2.804083495981827,2.3044107677501304,1.4019461262505237,1.6095729607651112,1.1943192917359362,1.1485167961076044,1.3395208708223345,0.9575127213928742,1.5243081008225545,1.7599697704365005,1.2886464312086086,0.8552729360486107,0.9364050913699972,0.7741407807272241,0.8841769877220974,0.9037075097677751,0.8646464656764197
2,2.5246068132742185,2.828053447098349,2.221160179450088,1.5363936524061155,1.74751159089137,1.3252757139208609,1.3094669285693414,1.4488543790175334,1.1700794781211494,1.3908589330439907,1.5295322421181763,1.252185623969805,0.8952828215176292,0.9405570701394874,0.8500085728957709,0.9537698894449699,0.9914481607868498,0.9160916181030899
3,2.221216712880939,2.545161583563671,1.8972718421982067,1.211311886786682,1.3815583504732636,1.0410654231001002,1.0988378281385045,1.2404758972331789,0.9571997590438303,1.2096353799999664,1.3721823315966195,1.0470884284033133,0.908181795712997,0.9543584734145819,0.862005118011412,0.9093536960386167,0.9627677494647947,0.8559396426124387
4,3.999869966408814,4.812190545811023,3.1875493870066047,1.792330225285107,2.6264034700982206,0.9582569804719935,0.9543135576337892,1.183318869709571,0.7253082455580075,1.8596064167118846,2.4942212173491085,1.2249916160746608,0.889107417295817,1.2780957997362719,0.500119034855362,0.7063279335128779,0.7364760397565371,0.6761798272692188
5,4.298955164436318,4.800717778902453,3.7971925499701835,2.063995981230124,2.3049869071877414,1.8230050552725066,1.91382855812421,2.3420407847281037,1.4856163315203164,2.135697200371598,2.297404561842001,1.9739898389011945,1.0902019204843842,1.142603528048212,1.0378003129205564,1.245033678044741,1.3479604985570457,1.1421068575324365
6,1.137028211286444,1.2288579422152093,1.0451984803576788,0.8894449257726109,0.9424649710477648,0.836424880497457,0.8859469714995217,0.94742071393911,0.8244732290599335,0.8715614719289148,0.9166287022776008,0.8264942415802287,0.736545430299315,0.7681680942486661,0.7049227663499639,0.8018349017977245,0.836710905991707,0.766958897603742
7,1.433344822235739,1.5436983178345514,1.3229913266369266,0.9958380416596808,1.0716986192958675,0.9199774640234941,0.9029710949716104,0.9737171811270277,0.8322250088161932,1.0117453717038258,1.0969409085597337,0.926549834847918,0.7433802467204558,0.7712173583123006,0.7155431351286109,0.7937512321647688,0.8153976895608157,0.772104774768722
8,0.6129416623591292,0.6682838819174253,0.5575994428008331,0.656093206405814,0.742883771059207,0.5693026417524211,0.7130658569596248,0.7657418690662723,0.6603898448529772,0.6232015526918976,0.6792210794003513,0.5671820259834439,0.6101443505231623,0.6619444043400224,0.5583442967063021,0.6627277490405334,0.6751810811304653,0.6502744169506016
