Task,Vanilla,Vanilla_upper_se,Vanilla_down_se,A-GEM,A-GEM_upper_se,A-GEM_down_se,GSS,GSS_upper_se,GSS_down_se,DER,DER_upper_se,DER_down_se,Joint,Joint_upper_se,Joint_down_se,Dual-LS,Dual-LS_upper_se,Dual-LS_down_se
1,43.539898132427844,47.88550539840501,39.19429086645068,20.339558573853992,26.855535332828328,13.823581814879656,12.555178268251273,18.244888634779063,6.865467901723485,24.8811544991511,32.968667258274756,16.793641740027446,4.533106960950764,6.796901526908283,2.2693123949932454,4.66044142614601,5.1244530455483,4.196429806743719
2,36.75774877650897,40.90743448103059,32.608063071987345,22.210440456769984,28.2096357319289,16.21124518161107,14.857259380097878,18.45496361533151,11.259555144864244,18.935562805872756,22.942969504999773,14.92815610674574,4.69820554649266,5.8720203418074055,3.524390751177914,5.954323001631321,6.8313426381886515,5.077303365073991
3,36.84873949579833,43.50412740812475,30.1933515834719,12.647058823529411,17.992907484483908,7.301210162574913,8.403361344537815,12.017783725648162,4.788938963427468,13.277310924369747,18.555769529138168,7.998852319601328,3.1512605042016806,4.258500581291449,2.044020427111912,2.773109243697479,4.059796535333989,1.4864219520609687
4,47.67976989453499,47.89676248254097,47.46277730652901,23.92138063279003,33.878702462226684,13.964058803353375,6.13614573346117,13.105426541516312,-0.8331350745939714,25.71428571428571,37.37491433204631,14.053657096525116,7.123681687440074,18.490614798705572,-4.243251423825425,0.8916586768935761,1.1630288234624964,0.6202885303246559
5,63.89084507042253,67.3392829739551,60.442407166889964,33.04577464788732,38.68449633662642,27.40705295914822,28.450704225352116,36.46989380595681,20.431514644747423,37.20070422535211,41.95389931067557,32.44750914002866,7.535211267605632,9.295383368100229,5.775039167111035,10.933098591549296,12.622689170987336,9.243508012111256
6,13.633093525179856,16.34064333759193,10.92554371276778,5.179856115107914,6.598073506001674,3.761638724214155,5.125899280575539,7.222078385737061,3.0297201754140177,5.77338129496403,7.566839283029954,3.9799233068981055,1.8705035971223019,3.0023117066584364,0.7386954875861671,2.5,3.3369699646422664,1.6630300353577334
7,17.95737704918033,20.313071593050275,15.601682505310384,10.485245901639344,12.779380496637717,8.19111130664097,7.940983606557376,9.38772388105035,6.494243332064402,10.921311475409835,13.16754946758726,8.67507348323241,4.219672131147542,4.773512836054339,3.665831426240745,4.118032786885246,4.441943318956812,3.7941222548136797
8,0.0,0.0,0.0,0.03690036900369004,0.10140275819004622,-0.02760202018266615,0.05535055350553506,0.15451731547722694,-0.04381620846615681,0.03690036900369004,0.10140275819004622,-0.02760202018266615,0.00922509225092251,0.03839739538900719,-0.01994721088716217,0.0,0.0,0.0
